Date,Surf Spot,VV,VH
2024-04-01,Peanuts Farm,-15.914875121534616,-26.452947985825297
2024-05-01,Peanuts Farm,-15.505972933030778,-25.9530606265659
2024-06-01,Peanuts Farm,-14.708216238749541,-25.20907865494311
2024-07-01,Peanuts Farm,-15.181106144318237,-25.62773542038187
2024-08-01,Peanuts Farm,-15.354546730038736,-26.02711078700268
2024-09-01,Peanuts Farm,-14.671161909493286,-26.0793260162232
2024-10-01,Peanuts Farm,-14.776095609201935,-25.695253432679426
2024-11-01,Peanuts Farm,-15.60454064174213,-26.117480977944986
2024-12-01,Peanuts Farm,-16.28121414869953,-26.47361371096616
2024-01-01,Pottuvil Point,-15.582260167597228,-25.710346119303917
2024-02-01,Pottuvil Point,-15.653537994589032,-25.53501304521703
2024-03-01,Pottuvil Point,-15.922271697616956,-26.448607112149727
2024-04-01,Pottuvil Point,-15.911364211220626,-26.573527872629846
2024-05-01,Pottuvil Point,-15.534531697939075,-25.98207699560049
2024-06-01,Pottuvil Point,-15.11510104558744,-25.416415535742104
2024-07-01,Pottuvil Point,-15.973433863364898,-26.18149146759636
2024-08-01,Pottuvil Point,-15.647464144751078,-26.347370027167276
2024-09-01,Pottuvil Point,-15.106240343419797,-26.417318868300185
2024-10-01,Pottuvil Point,-15.198245890570405,-25.995799167444517
2024-11-01,Pottuvil Point,-15.713243279316876,-26.432487174864097
2024-12-01,Pottuvil Point,-16.2903690175023,-26.775353405456134
2024-01-01,Rockside Induruwa,-15.686273240022595,-25.155197738770692
2024-02-01,Rockside Induruwa,-15.136516034445268,-25.12450593984693
2024-03-01,Rockside Induruwa,-16.952630222007503,-25.34560553378725
2024-04-01,Rockside Induruwa,-15.61079294056098,-24.911574896096386
2024-05-01,Rockside Induruwa,-13.017971673137996,-24.126995957855172
2024-06-01,Rockside Induruwa,-14.39443177367333,-24.70849600207314
2024-07-01,Rockside Induruwa,-15.283573516077848,-25.06504388096719
2024-08-01,Rockside Induruwa,-14.469834760023252,-24.929068690280005
2024-09-01,Rockside Induruwa,-12.844962423954783,-24.749479150889933
2024-10-01,Rockside Induruwa,-15.177107351408726,-24.943591392322265
2024-11-01,Rockside Induruwa,-15.751118235646372,-25.169541515490227
2024-12-01,Rockside Induruwa,-14.970999710848236,-24.918399046443284
2024-01-01,South Beach,-13.666659725261828,-25.89623248435301
2024-02-01,South Beach,-14.28897376044486,-25.880630339106656
2024-03-01,South Beach,-15.47154741144299,-25.99750725320628
2024-04-01,South Beach,-16.965883104123158,-26.03158203908196
2024-05-01,South Beach,-12.550604327370298,-24.82511753793825
2024-06-01,South Beach,-12.327939442205755,-25.1315234795993
2024-07-01,South Beach,-14.083686380615056,-25.777360235309626
2024-08-01,South Beach,-12.811600294487683,-25.530522090610614
2024-09-01,South Beach,-11.633313386518157,-25.092173236246133
2024-10-01,South Beach,-13.063213586815476,-25.281531586835648
2024-11-01,South Beach,-14.305482286227258,-25.92619054537413
2024-12-01,South Beach,-17.13566975907264,-26.265340091479118
2024-01-01,Thalpe,-14.136883494025401,-26.472210066036723
2024-02-01,Thalpe,-14.802902698704784,-26.481988841503878
2024-03-01,Thalpe,-15.84712149485132,-26.625473596974693
2024-04-01,Thalpe,-17.134024111773513,-26.599736855071
2024-05-01,Thalpe,-12.724837422849498,-25.206148321349296
2024-06-01,Thalpe,-12.552364958787026,-25.630147320479022
2024-07-01,Thalpe,-14.384520811715882,-26.32736788305031
2024-08-01,Thalpe,-13.00032009475542,-26.076074401680653
2024-09-01,Thalpe,-11.863501446457766,-25.647214472908306
2024-10-01,Thalpe,-13.338185008619146,-25.82568733224587
2024-11-01,Thalpe,-14.57676203443331,-26.500679287174943
2024-12-01,Thalpe,-17.515626296556626,-26.82695988743632
2024-01-01,Thalyadi,-15.59980146920167,-27.49322102655455
2024-02-01,Thalyadi,-15.542328151849286,-27.404829969864103
2024-03-01,Thalyadi,-15.867816220708239,-27.81277686376086
2024-04-01,Thalyadi,-17.09974770447502,-28.40066118015305
2024-05-01,Thalyadi,-15.837568508983974,-27.72514426416813
2024-06-01,Thalyadi,-15.559244868614615,-27.549308750742288
2024-07-01,Thalyadi,-16.21055919471967,-28.076594492275447
2024-08-01,Thalyadi,-16.85355699653222,-28.49709074148229
2024-09-01,Thalyadi,-15.282904248802241,-27.914830420427094
2024-10-01,Thalyadi,-16.22500856988217,-28.108111722996842
2024-11-01,Thalyadi,-15.140673431027208,-27.191310838663824
2024-12-01,Thalyadi,-17.52933699281023,-28.085671717703818
2024-01-01,Unawatuna,-15.14217502051959,-27.429615616121392
2024-02-01,Unawatuna,-15.575471097538824,-27.410918964306298
2024-03-01,Unawatuna,-16.55634725482998,-27.57644184846595
2024-04-01,Unawatuna,-17.82123992816771,-27.505279428192825
2024-05-01,Unawatuna,-13.134812993578485,-25.94368504709841
2024-06-01,Unawatuna,-13.076065900562206,-26.5065292664848
2024-07-01,Unawatuna,-14.950692581730246,-27.22366715891882
2024-08-01,Unawatuna,-13.634606532611127,-26.966022848869436
2024-09-01,Unawatuna,-12.246987491469886,-26.47498794424605
2024-10-01,Unawatuna,-13.987348730487614,-26.754218046355582
2024-11-01,Unawatuna,-15.2169047604375,-27.417161484475017
2024-12-01,Unawatuna,-18.114660567548835,-27.73377923962925
2024-01-01,Weligama,-12.461706024934283,-23.90504231858698
2024-02-01,Weligama,-12.594018507790185,-23.76764680508708
2024-03-01,Weligama,-13.429698464685265,-23.836551743552818
2024-04-01,Weligama,-14.947521390335664,-23.94646040248229
2024-05-01,Weligama,-11.506569777704142,-23.10891999778764
2024-06-01,Weligama,-11.468473553499539,-23.328723755903134
2024-07-01,Weligama,-12.809965110767727,-23.70521789743596
2024-08-01,Weligama,-11.966583451013102,-23.60281331525691
2024-09-01,Weligama,-10.855307338495441,-23.177346737654172
2024-10-01,Weligama,-11.940694609986382,-23.285514627462824
2024-11-01,Weligama,-12.876325816020302,-23.844192116529406
2024-12-01,Weligama,-14.995108029399821,-24.092636735877324
2024-01-01,Whiskey Point,-15.466503562871642,-25.50898658641391
2024-02-01,Whiskey Point,-15.555830672823976,-25.341254510924852
2024-03-01,Whiskey Point,-15.841865415392217,-26.27230190053601
2024-04-01,Whiskey Point,-15.794907118321456,-26.3776191654506
2024-05-01,Whiskey Point,-15.437653082167309,-25.791283852449673
2024-06-01,Whiskey Point,-15.105480233907409,-25.29517054415354
2024-07-01,Whiskey Point,-15.980979009546624,-26.08420463856689
2024-08-01,Whiskey Point,-15.618580347258465,-26.22683393889973
2024-09-01,Whiskey Point,-15.174300760075354,-26.355118342553574
2024-10-01,Whiskey Point,-15.1375769965007,-25.84700807164819
2024-11-01,Whiskey Point,-15.566879905399178,-26.248226057134215
2024-12-01,Whiskey Point,-16.158049218671756,-26.61528561326868
